 Book  Title , UPC  Code , Product  Type , Price  (ExclTax) , Price  (InclTax) ,Taxes,Availability,number_of_reviews,nb_of_stars, Image  Url 
 Sharp  Objects ,e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00, In  stock  (20  available) ,0,Four,http://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg
 In  a  Dark  Dark  Wood ,19ed25f4641d5efd,Books,£19.63,£19.63,£0.00, In  stock  (18  available) ,0,One,http://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg
 The  Past  Never  Ends ,5ee94540d0749ea0,Books,£56.50,£56.50,£0.00, In  stock  (16  available) ,0,Four,http://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg
 A  Murder  in  Time ,f733e8c19d40ec2e,Books,£16.64,£16.64,£0.00, In  stock  (16  available) ,0,One,http://books.toscrape.com/media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg
 The  Murder  of  Roger  Ackroyd ,c7b5183f4d1d4efe,Books,£44.10,£44.10,£0.00, In  stock  (15  available) ,0,Four,http://books.toscrape.com/media/cache/86/38/8638ba095b3b32e0abdef170e7bc4fd6.jpg
 The  Last  Mile ,3bc89353f7e3a3cc,Books,£54.21,£54.21,£0.00, In  stock  (14  available) ,0,Two,http://books.toscrape.com/media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg
 That  Darkness ,0c7b9cf2b7662b65,Books,£13.92,£13.92,£0.00, In  stock  (14  available) ,0,One,http://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg
 Tastes  Like  Fear ,2d1e337aaf341858,Books,£10.69,£10.69,£0.00, In  stock  (14  available) ,0,One,http://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg
 A  Time  of  Torment ,4416c474713ec1f5,Books,£48.35,£48.35,£0.00, In  stock  (14  available) ,0,Five,http://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg
 A  Study  in  Scarlet ,63ee5bc46066a8a8,Books,£16.73,£16.73,£0.00, In  stock  (14  available) ,0,Two,http://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg
Poisonous,abdd91e96515a617,Books,£26.80,£26.80,£0.00, In  stock  (12  available) ,0,Three,http://books.toscrape.com/media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg
 Murder  at  the  42nd  Street  Library ,e7fe3bf2768602cf,Books,£54.36,£54.36,£0.00, In  stock  (12  available) ,0,Four,http://books.toscrape.com/media/cache/19/74/19748437aac103dbdeb1918062728726.jpg
 Most  Wanted ,c039f5aceb093537,Books,£35.28,£35.28,£0.00, In  stock  (12  available) ,0,Three,http://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg
 Hide  Away ,bddc6fd036eb6279,Books,£11.84,£11.84,£0.00, In  stock  (12  available) ,0,One,http://books.toscrape.com/media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg
 Boar  Island ,49b24c6a41b82bd2,Books,£59.48,£59.48,£0.00, In  stock  (12  available) ,0,Three,http://books.toscrape.com/media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg
 The  Widow ,6159d8b187831770,Books,£27.26,£27.26,£0.00, In  stock  (11  available) ,0,Two,http://books.toscrape.com/media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg
 Playing  with  Fire ,05a61a3bd8ca4149,Books,£13.71,£13.71,£0.00, In  stock  (11  available) ,0,Three,http://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg
 What  Happened  on  Beale  Street ,9735c969c652dd89,Books,£25.37,£25.37,£0.00, In  stock  (7  available) ,0,Five,http://books.toscrape.com/media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg
 The  Bachelor  Girl's  Guide  to  Murder ,20789fb17b423c4c,Books,£52.30,£52.30,£0.00, In  stock  (7  available) ,0,Five,http://books.toscrape.com/media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg
 Delivering  the  Truth ,4e980425468708da,Books,£20.89,£20.89,£0.00, In  stock  (7  available) ,0,Four,http://books.toscrape.com/media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg
 The  Mysterious  Affair  at  Styles ,2da5edf8b5776c9a,Books,£24.80,£24.80,£0.00, In  stock  (6  available) ,0,Four,http://books.toscrape.com/media/cache/6b/61/6b61d393f0731f6c52182ba3cf41e245.jpg
 In  the  Woods ,6958de044cb28a84,Books,£38.38,£38.38,£0.00, In  stock  (6  available) ,0,Two,http://books.toscrape.com/media/cache/13/47/13470484ded8c835ce03b662fc863a1a.jpg
 The  Silkworm ,f06039c29b5891fa,Books,£23.05,£23.05,£0.00, In  stock  (3  available) ,0,Five,http://books.toscrape.com/media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg
 The  Exiled ,dd003e904727281a,Books,£43.45,£43.45,£0.00, In  stock  (3  available) ,0,Three,http://books.toscrape.com/media/cache/dd/29/dd29147b962e4480491cac5bce41e4e4.jpg
 The  Cuckoo's  Calling ,1be6d3b121865edb,Books,£19.21,£19.21,£0.00, In  stock  (3  available) ,0,One,http://books.toscrape.com/media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg
 Extreme  Prey ,588ba85ff11a3263,Books,£25.40,£25.40,£0.00, In  stock  (3  available) ,0,Three,http://books.toscrape.com/media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg
 Career  of  Evil ,b461cf238506c5b8,Books,£24.72,£24.72,£0.00, In  stock  (3  available) ,0,Two,http://books.toscrape.com/media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg
 The  No  1  Ladies'  Detective  Agency ,b0913e67d38d5ed5,Books,£57.70,£57.70,£0.00, In  stock  (1  available) ,0,Four,http://books.toscrape.com/media/cache/62/8c/628c0151226402726149c98549671250.jpg
 The  Girl  You  Lost ,4280ac3eab57aa5d,Books,£12.29,£12.29,£0.00, In  stock  (1  available) ,0,Five,http://books.toscrape.com/media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg
 The  Girl  In  The  Ice ,ee61197edb882599,Books,£15.85,£15.85,£0.00, In  stock  (1  available) ,0,Three,http://books.toscrape.com/media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg
 Blood  Defense ,95cdfd514098c38b,Books,£20.30,£20.30,£0.00, In  stock  (1  available) ,0,Three,http://books.toscrape.com/media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg
 1st  to  Die ,f684a82adc49f011,Books,£53.98,£53.98,£0.00, In  stock  (1  available) ,0,One,http://books.toscrape.com/media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg
