 Book  Title , UPC  Code , Product  Type , Price  (ExclTax) , Price  (InclTax) ,Taxes,Availability, Image  Url 
 Tipping  the  Velvet ,90fa61229261140a,Livres,£53.74,£53.74,£0.00, In  stock  (20  available) ,http://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg
 Forever  and  Forever:  The  Courtship  of  Henry  Longfellow  and  Fanny  Appleton ,9beb96a2300109d7,Livres,£29.69,£29.69,£0.00, In  stock  (16  available) ,http://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg
 A  Flight  of  Arrows  (The  Pathfinders  #2) ,3a6fb983e2554023,Livres,£55.53,£55.53,£0.00, In  stock  (16  available) ,http://books.toscrape.com/media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg
 The  House  by  the  Lake ,9287e238d7c3b06e,Livres,£36.95,£36.95,£0.00, In  stock  (15  available) ,http://books.toscrape.com/media/cache/46/a2/46a2c968bfccf1979cc5576085eec6dd.jpg
 Mrs.  Houdini ,a40723994f715420,Livres,£30.25,£30.25,£0.00, In  stock  (15  available) ,http://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg
 The  Marriage  of  Opposites ,52cf2a5933ec5d8f,Livres,£28.08,£28.08,£0.00, In  stock  (14  available) ,http://books.toscrape.com/media/cache/33/8e/338e196723f3fb10d5c6990fe54be61d.jpg
 Glory  over  Everything:  Beyond  The  Kitchen  House ,de4b403cb629a29f,Livres,£45.84,£45.84,£0.00, In  stock  (14  available) ,http://books.toscrape.com/media/cache/06/ac/06ac98df817412ce2419c4509fa98c80.jpg
 Love,  Lies  and  Spies ,9546d537fbf99eb6,Livres,£20.55,£20.55,£0.00, In  stock  (12  available) ,http://books.toscrape.com/media/cache/5c/19/5c19785278eaa6bf984ce6659847abc3.jpg
 A  Paris  Apartment ,63343e287971bb0c,Livres,£39.01,£39.01,£0.00, In  stock  (12  available) ,http://books.toscrape.com/media/cache/b3/d9/b3d90aca157d5a250becc8b255a37251.jpg
 Lilac  Girls ,bade9943ee01b63f,Livres,£17.28,£17.28,£0.00, In  stock  (11  available) ,http://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg
 The  Constant  Princess  (The  Tudor  Court  #1) ,24933c712f0bca2f,Livres,£16.62,£16.62,£0.00, In  stock  (7  available) ,http://books.toscrape.com/media/cache/ed/52/ed52651826bb23d853aead2753c9befc.jpg
 The  Invention  of  Wings ,e6635f5b0a2c78db,Livres,£37.34,£37.34,£0.00, In  stock  (6  available) ,http://books.toscrape.com/media/cache/7a/b0/7ab00e6956f540bfe0018656d5bfe1e4.jpg
 World  Without  End  (The  Pillars  of  the  Earth  #2) ,2e5b4ff08a75fd02,Livres,£32.97,£32.97,£0.00, In  stock  (5  available) ,http://books.toscrape.com/media/cache/58/b5/58b5730dd82cbcf6560cf0ab8b56cd9f.jpg
 The  Passion  of  Dolssa ,011674f4a3834b8d,Livres,£28.32,£28.32,£0.00, In  stock  (4  available) ,http://books.toscrape.com/media/cache/b3/59/b35975c0df26c40964028a8ccabc9a91.jpg
 Girl  With  a  Pearl  Earring ,5eff05e59f905a49,Livres,£26.77,£26.77,£0.00, In  stock  (4  available) ,http://books.toscrape.com/media/cache/b1/5e/b15ec9da5c7b28e2d11347dd2e8c20e5.jpg
 Voyager  (Outlander  #3) ,7feac4000cbc5859,Livres,£21.07,£21.07,£0.00, In  stock  (3  available) ,http://books.toscrape.com/media/cache/6e/22/6e22497cbecedef59be86d1328e4b044.jpg
 The  Red  Tent ,3c456328b04a8ee8,Livres,£35.66,£35.66,£0.00, In  stock  (3  available) ,http://books.toscrape.com/media/cache/15/59/155942710c3ae4bd4ed622df9a999b99.jpg
 The  Last  Painting  of  Sara  de  Vos ,476c7972e9b41891,Livres,£55.55,£55.55,£0.00, In  stock  (3  available) ,http://books.toscrape.com/media/cache/1c/e4/1ce4c2573d65ebdc3c85d9a6592d57b1.jpg
 The  Guernsey  Literary  and  Potato  Peel  Pie  Society ,4a0a276409968a73,Livres,£49.53,£49.53,£0.00, In  stock  (3  available) ,http://books.toscrape.com/media/cache/98/e3/98e3925e5e6a66acf2cde918fc147205.jpg
