 Book  Title , UPC  Code , Product  Type , Price  (ExclTax) , Price  (InclTax) ,Taxes,Availability, Image  Url 
 It's  Only  the  Himalayas ,a22124811bfa8350,Livres,£45.17,£45.17,£0.00, In  stock  (19  available) ,http://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg
 Full  Moon  over  Noahâs  Ark    An  Odyssey  to  Mount  Ararat  and  Beyond ,ce60436f52c5ee68,Livres,£49.43,£49.43,£0.00, In  stock  (15  available) ,http://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg
 See  America    A  Celebration  of  Our  National  Parks  &  Treasured  Sites ,f9705c362f070608,Livres,£48.87,£48.87,£0.00, In  stock  (14  available) ,http://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg
 Vagabonding    An  Uncommon  Guide  to  the  Art  of  Long-Term  World  Travel ,1809259a5a5f1d8d,Livres,£36.94,£36.94,£0.00, In  stock  (8  available) ,http://books.toscrape.com/media/cache/ca/30/ca30b1afe1e76ce7ba1db8176d398e53.jpg
 Under  the  Tuscan  Sun ,a94350ee74deaa07,Livres,£37.33,£37.33,£0.00, In  stock  (7  available) ,http://books.toscrape.com/media/cache/45/21/4521c581ba727f5c835e34860cbf53e5.jpg
 A  Summer  In  Europe ,cc1936a9f4e93477,Livres,£44.34,£44.34,£0.00, In  stock  (7  available) ,http://books.toscrape.com/media/cache/6c/e3/6ce3003931701c7a3fd5354917538ea9.jpg
 The  Great  Railway  Bazaar ,48736df57e7bec9f,Livres,£30.54,£30.54,£0.00, In  stock  (6  available) ,http://books.toscrape.com/media/cache/d5/82/d582f6b0261c2842330e893962276295.jpg
 A  Year  in  Provence  (Provence  #1) ,9e60929f521fa280,Livres,£56.88,£56.88,£0.00, In  stock  (6  available) ,http://books.toscrape.com/media/cache/8b/81/8b81cd9b2c8f89a12099a80bed1c4911.jpg
 The  Road  to  Little  Dribbling    Adventures  of  an  American  in  Britain  (Notes  From  a  Small  Island  #2) ,366a236aa1ea6f07,Livres,£23.21,£23.21,£0.00, In  stock  (3  available) ,http://books.toscrape.com/media/cache/26/f5/26f5d20239a45046e756c6d09611b3ea.jpg
 Neither  Here  nor  There    Travels  in  Europe ,747cf7fca2ccdbd4,Livres,£38.95,£38.95,£0.00, In  stock  (3  available) ,http://books.toscrape.com/media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg
 1,000  Places  to  See  Before  You  Die ,228ba5e7577e1d49,Livres,£26.08,£26.08,£0.00, In  stock  (1  available) ,http://books.toscrape.com/media/cache/9e/10/9e106f81f65b293e488718a4f54a6a3f.jpg
